Date Time Field[G] Current[A] Source Channel
02-06-2022 20-02-05 9998.95 15.383 "Power supplay" 2
02-06-2022 20-15-34 -9998.82 -15.3828 "Power supplay" 2
02-06-2022 20-15-37 -9998.82 -15.3828 "Power supplay" 2
02-06-2022 20-29-06 9998.82 15.3828 "Power supplay" 2
02-06-2022 20-29-10 9998.82 15.3828 "Power supplay" 2
02-06-2022 20-42-40 -9999.015 -15.3831 "Power supplay" 2
02-06-2022 20-42-43 -9999.015 -15.3831 "Power supplay" 2
02-06-2022 20-56-13 9999.015 15.3831 "Power supplay" 2
02-06-2022 20-56-16 9999.015 15.3831 "Power supplay" 2
02-06-2022 21-09-46 -9998.95 -15.383 "Power supplay" 2
02-06-2022 21-09-50 -9998.95 -15.383 "Power supplay" 2
02-06-2022 21-23-19 9998.885 15.3829 "Power supplay" 2
02-06-2022 21-23-23 9998.885 15.3829 "Power supplay" 2
02-06-2022 21-23-29 9999.665 15.3841 "Power supplay" 2
02-06-2022 21-37-54 -19998.965 -57.1399 "Power supplay" 1
02-06-2022 21-37-57 -19998.965 -57.1399 "Power supplay" 1
02-06-2022 21-47-03 1.19 0.0034 "Power supplay" 1
02-06-2022 21-47-07 1.19 0.0034 "Power supplay" 1
02-06-2022 21-54-26 10001.005 28.5743 "Power supplay" 1
02-06-2022 21-54-30 10001.005 28.5743 "Power supplay" 1
02-06-2022 22-10-07 -10002.895 -28.5797 "Power supplay" 1
02-06-2022 22-10-10 -10002.895 -28.5797 "Power supplay" 1
02-06-2022 22-24-11 10002.405 28.5783 "Power supplay" 1
02-06-2022 22-24-15 10002.405 28.5783 "Power supplay" 1
02-06-2022 22-40-32 -10001.67 -28.5762 "Power supplay" 1
02-06-2022 22-40-36 -10001.67 -28.5762 "Power supplay" 1
02-06-2022 22-52-32 10002.23 28.5778 "Power supplay" 1
02-06-2022 22-52-36 10002.23 28.5778 "Power supplay" 1
02-06-2022 23-08-56 -10001.67 -28.5762 "Power supplay" 1
02-06-2022 23-08-59 -10001.67 -28.5762 "Power supplay" 1
